ABILENETX.GOV,"   p=none; pct=5; rua=mailto:postmaster@abilenetx.com"""
ABITASPRINGSLA.GOV,"   p=none; rua=mailto:support@abitaspringsla.gov"""
ACNJ.GOV,"  p=none;sp=none;adkim=r;aspf=r; fo=0;rf=afrf; rua=mailto:rua+acnj.gov@dmarc.barracudanetworks.com;ruf=mailto:rua+acnj.gov@dmarc.barracudanetworks.com"""
ADAMSCOUNTYMS.GOV,"  p=none"""
ADDISONWI.GOV,"   p=none; rua=mailto:3foldit@addisonwi.gov"""
ADLNET.GOV,"   p=none;   rua=mailto:security@adlnet.gov; ruf=mailto:security@adlnet.gov"""
AGUTAH.GOV,"   p=none; rua=mailto:8x0atoa7@ag.us.dmarcian.com;"""
AI.GOV,"   p=none"""
AIKENCOUNTYSC.GOV, null
AKCOURTS.GOV,"   p=none; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com;fo=1"""
AKRONOHIO.GOV,"   p=none; rua=mailto:DMARCrua@akronohio.gov;"""
ALACHUACOUNTY.GOV,"   p=none; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com;fo=1"""
ALBANYOREGON.GOV,"   p=none;   rua=mailto:re+anqu55ibv7b@dmarc.postmarkapp.com; sp=none; aspf=r;"""
ALEA.GOV,"   p=none; rua=mailto:dmarc_agg@vali.email; ruf=mailto:abuse@alea.gov;  """
ALEKNAGIKAK.GOV, null
ALEXANDRIAVA.GOV,"   p=none;   rua=mailto:re+dzd80id0kia@dmarc.postmarkapp.com; sp=none; aspf=r;"""
ALFREDME.GOV,"     sp=none; adkim=r; aspf=r;   fo=0; rf=afrf; ri=302400; rua=mailto:dlowe@alfredme.gov; ruf=mailto:dlowe@alfredme.gov"""
ALSTEADNH.GOV,"   p=none;   rua=mailto:05fabd57@mxtoolbox.dmarc-report.com; ruf=mailto:05fabd57@forensics.dmarc-report.com;"""
AMITECOUNTYMS.GOV,"   p=none;"""
ANDOVERMA.GOV,"   p=none; rua=mailto:dmarc@andoverma.us; ruf=mailto:dmarc@andoverma.us; fo=1"""
ANDOVERMN.GOV,"   p=none;   rua=mailto:rua+andovermn.gov@dmarc.barracudanetworks.com; ruf=mailto:ruf+andovermn.gov@dmarc.barracudanetworks.com"""
ANTIOCHCA.GOV,"  p=none"""
APPLEVALLEYCA.GOV,"   p=none;   rua=mailto:rua+applevalleyca.gov@dmarc.barracudanetworks.com; ruf=mailto:ruf+applevalleyca.gov@dmarc.barracudanetworks.com"""
APPLEVALLEYMN.GOV,"   p=none; ruf=mailto:abuse@applevalleymn.gov; fo=0:1:d:s;  """
APTX.GOV,"   p=none; rua=mailto:50db2c915cd2.a@dmarcinput.com; ruf=mailto:50db2c915cd2.f@dmarcinput.com;    """
AR.GOV,"  "" ""p=none;"" "" "" ""rua=mailto:saexchange2k@arkansas.gov;"" ""sp=none;"""
ARANSASCOUNTYTX.GOV,   p=none; sp=none; rua=mailto:5762b07620@rep.dmarcanalyzer.com
ARDOT.GOV,"   p=none; rua=mailto:dmarcreports@ardot.gov; ruf=mailto:dmarcforensics@ardot.gov; fo=1"""
ARKANSAS.GOV,"   p=none;   rua=mailto:saexchange2k@arkansas.gov; sp=none;"""
ARLINGTONTX.GOV,"   p=none;  """
ARTREASURY.GOV,"   p=none;   rua=mailto:rua+artreasury.gov@dmarc.barracudanetworks.com; ruf=mailto:ruf+artreasury.gov@dmarc.barracudanetworks.com"""
AS.GOV,   p=none; rua=mailto:andrew.berquist@tr.as.gov
ASHLANDCITYTN.GOV,"   p=none; rua=mailto:bfd9e54da8c2054@rep.dmarcanalyzer.com; ruf=mailto:bfd9e54da8c2054@for.dmarcanalyzer.com; fo=1"""
ATLANTISFL.GOV,"   p=none;   rua=mailto:rua+atlantisfl.gov@dmarc.barracudanetworks.com; ruf=mailto:ruf+atlantisfl.gov@dmarc.barracudanetworks.com"""
ATTICA-IN.GOV,"   p=none;   rua=mailto:dmarc@awebco.com"""
AUGLAIZECOUNTY-OHIO.GOV,"  p=none;sp=none;adkim=r;aspf=r; fo=0;rf=afrf; ruf=mailto:dmarcreports@auglaizecounty-ohio.gov;ruf=mailto:dmarcreports@auglaizecounty-ohio.gov"""
AUGUSTAGA.GOV,   p=none; s    rua=mailto:re+hbtff7wdifc@dmarc.postmarkapp.com
AUSTIN.GOV,"   p=none; rua=mailto:dmarc_agg@valigov.email"""
AUSTINTEXAS.GOV,"   p=none; rua=mailto:dmarc_agg@valigov.email"""
AUSTINTX.GOV,"   p=none; rua=mailto:dmarc_agg@valigov.email"""
AVONDALEAZ.GOV,"   p=none;   rua=mailto:re+qqmimfshlac@dmarc.postmarkapp.com; sp=none; aspf=r;"""
AZACCOUNTANCY.GOV,"   p=none;   rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
AZADC.GOV,"   p=none;   rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
AZAHCCCS.GOV,"   p=none;   rua=mailto:dmarc_rua@arizona.gov"""
AZARTS.GOV,"   p=none;   rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
AZASRS.GOV,"   p=none;   rua=mailto:dmarc_rua@arizona.gov"""
AZBN.GOV,"   p=none;   rua=mailto:dmarc_rua@arizona.gov"""
AZBOC.GOV,"   p=none;   rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
AZBTR.GOV,"   p=none;   rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
AZCC.GOV,"   p=none; ruf=mailto:postmaster@azcc.gov; fo=1"""
AZCJC.GOV,"   p=none;   rua=mailto:dmarc_rua@arizona.gov"""
AZCLEANELECTIONS.GOV,"   p=none;   rua=mailto:dmarc_rua@arizona.gov"""
AZCORRECTIONS.GOV,"   p=none;   rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
AZDA.GOV,"   p=none;   rua=mailto:dmarc_rua@arizona.gov"""
AZDCS.GOV,"   p=none; rua=mailto:dmarcreport@azdcs.gov; ruf=mailto:dmarcreport@azdcs.gov; fo=0;   ri=86400"""
AZDEMA.GOV,"   p=none;   rua=mailto:dmarc_rua@arizona.gov"""
AZDEQ.GOV,"   p=none;   rua=mailto:dmarc_rua@arizona.gov"""
AZDES.GOV,"   p=none;   rua=mailto:dmarc_rua@arizona.gov"""
AZDHS.GOV,   p=none;   rua=mailto:dmarc_rua@emaildefense.proofpoint.com
AZDJC.GOV,"   p=none;   rua=mailto:dmarc_rua@arizona.gov"""
AZDO.GOV,"   p=none;   rua=mailto:dmarc_rua@arizona.gov"""
AZDOA.GOV,"   p=none;   rua=mailto:dmarc_rua@arizona.gov"""
AZDOC.GOV,"   p=none;   rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
AZDOHS.GOV,"   p=none;   rua=mailto:dmarc_rua@arizona.gov"""
AZDOR.GOV,"   p=none;   rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
AZDOSH.GOV,"   p=none;   rua=mailto:dmarc_rua@arizona.gov"""
AZDOT.GOV,"   p=none;   rua=mailto:dmarc_rua@arizona.gov"""
AZED.GOV,"   p=none; rua=mailto:dmarc_agg@vali.email;"""
AZGOHS.GOV,"   p=none;   rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
AZHS.GOV,"   p=none;   rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
AZICA.GOV,"   p=none;   rua=mailto:dmarc_rua@arizona.gov"""
AZLIQUOR.GOV,"   p=none;   rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
AZLOTTERY.GOV,"   p=none;   rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
AZPHARMACY.GOV,"   p=none;   rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
AZPOST.GOV,"   p=none;   rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
AZPPSE.GOV,"   p=none;   rua=mailto:dmarc_rua@arizona.gov"""
